Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Daihatsu,Lain-lain,Gran max,2011,0-5.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,49500000
Toyota,J,Yaris,2008,120.000-125.000 km,Bensin,Silver,Manual,4X2,Hatchback,>1.000 - 1.500 cc,89000000
Toyota,E,Calya,2017,25.000-30.000 km,Bensin,Silver,Manual,?,?,>1.000 - 1.500 cc,109000000
Toyota,1.5,Kijang,1994,105.000-110.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,47500000
Toyota,S,Avanza,2011,90.000-95.000 km,Bensin,Silver,Automatic,4X2,Minibus,>1.000 - 1.500 cc,80000000
Honda,S,Jazz,2015,0-5.000 km,Bensin,Hitam,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,160000000
Nissan,Lain-lain,Grand livina,2012,80.000-85.000 km,Bensin,Putih,Automatic,?,?,?,103000000
Toyota,E,Yaris,2013,30.000-35.000 km,Bensin,Silver,Automatic Triptonic,4X2,Compact & City Car,>1.000 - 1.500 cc,117000000
Suzuki,Lain-lain,SX4,2008,115.000-120.000 km,Bensin,Abu-abu,Manual,?,Minibus,?,70000000
Suzuki,DILAGO,Wagon R,2014,45.000-50.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,82000000
